Designator,Mid X,Mid Y,Rotation,Layer
D1,22.38,-79.255,90.0,top
D10,175.783674,-79.190221,90.0,top
D11,22.39,-98.315,90.0,top
D12,41.515,-84.54,90.0,top
D13,60.524513,-71.783326,90.0,top
D14,79.655,-84.63,90.0,top
D15,98.64,-98.34,90.0,top
D16,252.170609,-98.389439,90.0,top
D17,233.052458,-84.70049,90.0,top
D18,213.897458,-71.74289,90.0,top
D19,194.872458,-122.79789,90.0,top
D2,252.170609,-79.369439,90.0,top
D20,175.793674,-98.230221,90.0,top
D21,22.39,-117.325,90.0,top
D22,41.5,-103.63,90.0,top
D23,60.54,-90.85,90.0,top
D24,79.692079,-103.635876,90.0,top
D25,98.68,-117.355,90.0,top
D26,252.200609,-117.346939,90.0,top
D27,233.052458,-103.69289,90.0,top
D28,213.872458,-90.78049,90.0,top
D29,194.872458,-84.69539,90.0,top
D3,41.53,-65.53,90.0,top
D30,175.778674,-117.270221,90.0,top
D31,22.425,-136.38,90.0,top
D32,41.49,-122.675,90.0,top
D33,60.555,-109.905,90.0,top
D34,79.68,-122.68,90.0,top
D35,98.69,-136.4,90.0,top
D36,252.200609,-136.359439,90.0,top
D37,233.057458,-122.75039,90.0,top
D38,213.862458,-109.89289,90.0,top
D39,194.882458,-65.65789,90.0,top
D4,233.047458,-65.66289,90.0,top
D40,175.798674,-136.340221,90.0,top
D41,117.73,-130.28,90.0,top
D42,156.785,-130.309192,90.0,top
D5,60.525,-52.68,90.0,top
D6,79.65725,-65.570756,90.0,top
D7,213.887458,-52.67289,90.0,top
D8,194.892458,-103.75789,90.0,top
D9,98.645,-79.305,90.0,top
H10,145.5,-113.0,90.0,top
H7,145.5,-96.0,90.0,top
H8,145.5,-80.0,90.0,top
H9,145.5,-131.25,90.0,top
R1,120.9375,-95.08,0.0,top
R2,170.524958,-89.80289,0.0,top
R3,120.9375,-98.03,0.0,top
R4,170.524958,-92.75289,0.0,top
SW1,30.675,-81.84,0.0,top
SW10,184.078674,-81.780221,0.0,top
SW11,30.675,-100.89,0.0,top
SW12,49.8,-87.14,0.0,top
SW13,68.819513,-74.368326,0.0,top
SW14,87.95,-87.215,0.0,top
SW15,106.95,-100.915,0.0,top
SW16,260.450609,-100.971939,0.0,top
SW17,241.327458,-87.27289,0.0,top
SW18,222.167458,-74.32289,0.0,top
SW19,203.152458,-125.38789,0.0,top
SW2,260.460609,-81.959439,0.0,top
SW20,184.078674,-100.805221,0.0,top
SW21,30.675,-119.915,0.0,top
SW22,49.785,-106.22,0.0,top
SW23,68.825,-93.44,0.0,top
SW24,87.962079,-106.220876,0.0,top
SW25,106.975,-119.94,0.0,top
SW26,260.470609,-119.926939,0.0,top
SW27,241.337458,-106.27289,0.0,top
SW28,222.157458,-93.37289,0.0,top
SW29,203.172458,-87.28789,0.0,top
SW3,49.825,-68.115,0.0,top
SW30,184.078674,-119.855221,0.0,top
SW31,30.7,-138.965,0.0,top
SW32,49.775,-125.265,0.0,top
SW33,68.825,-112.49,0.0,top
SW34,87.95,-125.265,0.0,top
SW35,106.975,-138.99,0.0,top
SW36,260.490609,-138.957039,0.0,top
SW37,241.347458,-125.33289,0.0,top
SW38,222.147458,-112.47289,0.0,top
SW39,203.172458,-68.24789,0.0,top
SW4,241.327458,-68.25289,0.0,top
SW40,184.088674,-138.935221,0.0,top
SW41,126.0,-132.865,0.0,top
SW42,165.08,-132.894192,0.0,top
SW5,68.795,-55.265,0.0,top
SW6,87.95225,-68.130756,0.0,top
SW7,222.167458,-55.26289,0.0,top
SW8,203.167458,-106.34289,0.0,top
SW9,106.925,-81.89,0.0,top
TP1,116.125,-95.105,0.0,top
TP2,174.977458,-89.11289,0.0,top
TP3,116.125,-99.155,0.0,top
TP4,174.977458,-93.16289,0.0,top
U3,131.9725,-84.5342,0.0,top
U4,158.9725,-84.5342,0.0,top
